id,area,en,ka,ru,de,fr,placeholders,ka corrected,ru corrected,de corrected,fr corrected,comment
reply.fact.input.taxable_turnover_12m,chat replies,What was the total of VAT-taxable sales over the last 12 months?,რამდენი იყო დღგ-ით დასაბეგრი ოპერაციების ჯამი ბოლო 12 თვის განმავლობაში?,Какова сумма облагаемых НДС операций за последние 12 месяцев?,Wie hoch war die Summe der mehrwertsteuerpflichtigen Umsätze in den letzten 12 Monaten?,Quel a été le total des opérations soumises à la TVA au cours des 12 derniers mois ?,,,,,,
reply.fact.company.vat_registered,chat replies,Is the company VAT-registered? You can set this in the company's tax profile.,რეგისტრირებულია თუ არა კომპანია დღგ-ის გადამხდელად? ეს კომპანიის საგადასახადო პროფილში მიუთითეთ.,Зарегистрирована ли компания плательщиком НДС? Это можно указать в налоговом профиле компании.,Ist das Unternehmen für die Mehrwertsteuer registriert? Das können Sie im Steuerprofil des Unternehmens angeben.,L’entreprise est-elle assujettie à la TVA ? Vous pouvez l’indiquer dans le profil fiscal de l’entreprise.,,,,,,
reply.fact.input.sale_amount,chat replies,What is the amount of the sale or invoice?,რა თანხაზეა რეალიზაცია ან ინვოისი?,На какую сумму продажа или счёт?,Wie hoch ist der Betrag des Verkaufs oder der Rechnung?,Quel est le montant de la vente ou de la facture ?,,,,,,
reply.fact.input.vat_inclusive,chat replies,Does that amount already include VAT?,ეს თანხა უკვე შეიცავს დღგ-ს?,Эта сумма уже включает НДС?,Ist die Mehrwertsteuer in diesem Betrag bereits enthalten?,Ce montant inclut-il déjà la TVA ?,,,,,,
reply.fact.input.distribution_amount,chat replies,How much do you want to pay out as dividends?,რა თანხის გაცემა გსურთ დივიდენდის სახით?,Какую сумму вы хотите выплатить в виде дивидендов?,Wie viel möchten Sie als Dividende ausschütten?,Quel montant souhaitez-vous verser en dividendes ?,,,,,,
reply.fact.company.tax_regime,chat replies,Which tax regime is the company on? You can set this in the company's tax profile.,რომელი საგადასახადო რეჟიმით სარგებლობს კომპანია? ეს საგადასახადო პროფილში მიუთითეთ.,Какой налоговый режим у компании? Это можно указать в налоговом профиле.,Welche Besteuerungsform hat das Unternehmen? Das können Sie im Steuerprofil angeben.,Quel est le régime fiscal de l’entreprise ? Vous pouvez l’indiquer dans le profil fiscal.,,,,,,
reply.fact.input.small_business_income,chat replies,How much taxable income did the business earn this month?,რა დასაბეგრი შემოსავალი მიიღო ბიზნესმა ამ თვეში?,Какой облагаемый доход бизнес получил в этом месяце?,Wie hoch war das steuerpflichtige Einkommen des Unternehmens in diesem Monat?,Quel revenu imposable l’entreprise a-t-elle réalisé ce mois-ci ?,,,,,,
reply.fact.input.output_vat,chat replies,How much VAT did you charge on your sales this month?,რამდენი დღგ დაარიცხეთ ამ თვეში გაყიდვებზე?,Сколько НДС вы начислили на продажи в этом месяце?,Wie viel Mehrwertsteuer haben Sie diesen Monat auf Ihre Verkäufe berechnet?,Combien de TVA avez-vous facturée sur vos ventes ce mois-ci ?,,,,,,
reply.fact.input.input_vat,chat replies,How much deductible VAT is on your purchases this month (from tax invoices)?,რამდენია ამ თვის შესყიდვებზე ჩასათვლელი დღგ (საგადასახადო ანგარიშ-ფაქტურებით)?,Сколько НДС к зачёту по покупкам в этом месяце (по налоговым счетам-фактурам)?,Wie viel abziehbare Vorsteuer steckt in Ihren Einkäufen dieses Monats (laut Steuerrechnungen)?,Combien de TVA déductible y a-t-il sur vos achats ce mois-ci (selon les factures fiscales) ?,,,,,,
reply.fact.missing,chat replies,Missing information: {fact},აკლია ინფორმაცია: {fact},Не хватает данных: {fact},Fehlende Angabe: {fact},Information manquante : {fact},{fact},,,,,
reply.suggestions.0,chat replies,"I hired someone for GEL 2,500",დავიქირავე თანამშრომელი 2500 ლარად,Я нанял сотрудника с зарплатой 2 500 лари,Ich habe jemanden für 2.500 GEL eingestellt,J’ai embauché quelqu’un pour 2 500 GEL,,,,,,
reply.suggestions.1,chat replies,"Our turnover for the last 12 months is 150,000",ბოლო 12 თვის ბრუნვა 150 000 ლარია,Наш оборот за последние 12 месяцев — 150 000 лари,Unser Umsatz der letzten 12 Monate beträgt 150.000 GEL,Notre chiffre d’affaires des 12 derniers mois est de 150 000 GEL,,,,,,
reply.suggestions.2,chat replies,Do I need to register for VAT?,უნდა დავრეგისტრირდე დღგ-ის გადამხდელად?,Нужно ли мне регистрироваться плательщиком НДС?,Muss ich mich für die Mehrwertsteuer registrieren?,Dois-je m’enregistrer à la TVA ?,,,,,,
reply.suggestions.3,chat replies,"How much VAT is in 11,800 GEL including VAT?",რამდენია დღგ 11 800 ლარში დღგ-ს ჩათვლით?,Сколько НДС в 11 800 лари с НДС?,Wie viel MwSt. steckt in 11.800 GEL inkl. MwSt.?,Combien de TVA dans 11 800 GEL TTC ?,,,,,,
reply.suggestions.4,chat replies,"We want to pay 8,500 GEL in dividends",გვინდა 8 500 ლარი გავცეთ დივიდენდად,Мы хотим выплатить 8 500 лари дивидендов,Wir möchten 8.500 GEL als Dividende ausschütten,Nous voulons verser 8 500 GEL de dividendes,,,,,,
reply.verification.demo,chat replies,"Note: this uses a demo rate as a placeholder, not the real Georgian rule yet.",შენიშვნა: აქ გამოყენებულია სანიმუშო (დემო) განაკვეთი და არა საქართველოს რეალური წესი.,"Примечание: используется условная (демо) ставка, а не реальное правило Грузии.","Hinweis: Hier wird ein Platzhalter-Satz (Demo) verwendet, nicht die tatsächliche georgische Regel.","Remarque : un taux fictif (démo) est utilisé, pas la règle géorgienne réelle.",,,,,,
reply.verification.unverified,chat replies,This rule was taken from the Tax Code text but hasn't been reviewed by an accountant yet.,"ეს წესი საგადასახადო კოდექსის ტექსტიდანაა აღებული, მაგრამ ბუღალტერს ჯერ არ შეუმოწმებია.","Это правило взято из текста Налогового кодекса, но бухгалтер его ещё не проверил.","Diese Regel stammt aus dem Text des Steuergesetzbuchs, wurde aber noch nicht von einem Steuerberater geprüft.","Cette règle est tirée du texte du Code des impôts, mais n’a pas encore été vérifiée par un comptable.",,,,,,
reply.phrase.payroll_with_pension,chat replies,"For a gross salary of {gross} GEL, the employee takes home {net} GEL. You withhold {pension} GEL for their pension (2%) and {tax} GEL income tax (20% of what's left). On top of the salary you also pay a {employer_pension} GEL employer pension contribution, so this salary costs you {cost} GEL in total.","{gross} ლარიანი ხელფასიდან თანამშრომელს ხელზე დარჩება {net} ლარი. თქვენ აკავებთ {pension} ლარს საპენსიო შენატანად (2%) და {tax} ლარს საშემოსავლო გადასახადად (დარჩენილი თანხის 20%). ამას გარდა, თავად იხდით {employer_pension} ლარს დამსაქმებლის საპენსიო შენატანად, ასე რომ, ეს ხელფასი ჯამში {cost} ლარი დაგიჯდებათ.","При зарплате {gross} лари до вычетов сотрудник получит на руки {net} лари. Вы удерживаете {pension} лари пенсионного взноса (2%) и {tax} лари подоходного налога (20% от остатка). Кроме того, вы сами платите {employer_pension} лари пенсионного взноса работодателя, так что эта зарплата обходится вам в {cost} лари.","Bei einem Bruttogehalt von {gross} GEL erhält der Mitarbeiter {net} GEL netto. Sie behalten {pension} GEL für seine Rente (2 %) und {tax} GEL Einkommensteuer (20 % des Rests) ein. Zusätzlich zahlen Sie selbst {employer_pension} GEL Arbeitgeberbeitrag zur Rente, sodass Sie dieses Gehalt insgesamt {cost} GEL kostet.","Pour un salaire brut de {gross} GEL, le salarié touche {net} GEL net. Vous retenez {pension} GEL pour sa retraite (2 %) et {tax} GEL d’impôt sur le revenu (20 % du reste). En plus du salaire, vous versez {employer_pension} GEL de cotisation retraite patronale : ce salaire vous coûte donc {cost} GEL au total.",{gross} {net} {pension} {tax} {employer_pension} {cost},,,,,
reply.phrase.payroll_no_pension,chat replies,"For a gross salary of {gross} GEL, the employee takes home {net} GEL after {tax} GEL income tax (20%). No pension contributions apply, since they're not in the funded pension scheme.","{gross} ლარიანი ხელფასიდან თანამშრომელს ხელზე დარჩება {net} ლარი, {tax} ლარის საშემოსავლო გადასახადის (20%) გამოკლების შემდეგ. საპენსიო შენატანი არ ერიცხება, რადგან დაგროვებით საპენსიო სქემაში არ მონაწილეობს.","При зарплате {gross} лари до вычетов сотрудник получит на руки {net} лари после удержания {tax} лари подоходного налога (20%). Пенсионные взносы не начисляются, так как сотрудник не участвует в накопительной пенсионной схеме.","Bei einem Bruttogehalt von {gross} GEL erhält der Mitarbeiter nach Abzug von {tax} GEL Einkommensteuer (20 %) {net} GEL netto. Rentenbeiträge fallen nicht an, da er nicht am kapitalgedeckten Rentensystem teilnimmt.","Pour un salaire brut de {gross} GEL, le salarié touche {net} GEL net après {tax} GEL d’impôt sur le revenu (20 %). Aucune cotisation retraite ne s’applique, car il ne participe pas au régime de retraite par capitalisation.",{gross} {net} {tax},,,,,
reply.phrase.payroll_ask,chat replies,"Sure, I can work that out. What is the gross monthly salary?","რა თქმა უნდა, დაგითვლით. რამდენია თვიური ხელფასი დაბეგვრამდე?","Конечно, посчитаю. Какова ежемесячная зарплата до вычета налогов?",Gern rechne ich das aus. Wie hoch ist das monatliche Bruttogehalt?,"Bien sûr, je vais le calculer. Quel est le salaire mensuel brut ?",,,,,,
reply.phrase.vat_yes,chat replies,"Yes, you need to register for VAT. Your taxable sales over the last 12 months are above GEL 100,000, so you have 2 business days to apply to the tax authority (Revenue Service). VAT applies starting with the sale that took you over the limit.","დიახ, დღგ-ის გადამხდელად რეგისტრაცია გჭირდებათ. ბოლო 12 თვის დასაბეგრმა ოპერაციებმა 100 000 ლარს გადააჭარბა, ამიტომ 2 სამუშაო დღის ვადაში უნდა მიმართოთ შემოსავლების სამსახურს. დღგ ვრცელდება იმ ოპერაციიდან, რომლითაც ზღვარი გადაიჭარბა.","Да, вам нужно зарегистрироваться плательщиком НДС. Облагаемые операции за последние 12 месяцев превысили 100 000 лари, поэтому в течение 2 рабочих дней нужно подать заявление в Службу доходов. НДС начисляется начиная с операции, которой был превышен порог.","Ja, Sie müssen sich für die Mehrwertsteuer registrieren. Ihre steuerpflichtigen Umsätze der letzten 12 Monate liegen über 100.000 GEL, daher müssen Sie innerhalb von 2 Arbeitstagen einen Antrag bei der Steuerbehörde (Revenue Service) stellen. Die Mehrwertsteuer gilt ab dem Umsatz, mit dem die Grenze überschritten wurde.","Oui, vous devez vous enregistrer à la TVA. Vos opérations imposables des 12 derniers mois dépassent 100 000 GEL : vous avez donc 2 jours ouvrables pour en faire la demande auprès de l’administration fiscale (Revenue Service). La TVA s’applique à partir de l’opération qui a fait dépasser le seuil.",,,,,,
reply.phrase.vat_no,chat replies,"No, you don't need to register.","არა, რეგისტრაცია არ გჭირდებათ.","Нет, регистрироваться не нужно.","Nein, Sie müssen sich nicht registrieren.","Non, vous n’avez pas besoin de vous enregistrer.",,,,,,
reply.phrase.vat_depends,chat replies,"It depends on your turnover. Registration becomes mandatory once taxable sales over any 12 consecutive months exceed GEL 100,000.","ეს დამოკიდებულია თქვენს ბრუნვაზე. რეგისტრაცია სავალდებულო ხდება, როგორც კი ნებისმიერი 12 თანმიმდევრული თვის დასაბეგრი ოპერაციები 100 000 ლარს გადააჭარბებს.","Это зависит от вашего оборота. Регистрация обязательна, как только облагаемые операции за любые 12 месяцев подряд превысят 100 000 лари.","Das hängt von Ihrem Umsatz ab. Die Registrierung wird Pflicht, sobald die steuerpflichtigen Umsätze in beliebigen 12 aufeinanderfolgenden Monaten 100.000 GEL übersteigen.",Cela dépend de votre chiffre d’affaires. L’enregistrement devient obligatoire dès que les opérations imposables sur 12 mois consécutifs dépassent 100 000 GEL.,,,,,,
reply.phrase.vat_inclusive,chat replies,"{gross} GEL including VAT contains {vat} GEL of VAT, so the price without VAT is {net} GEL. (VAT is 18% of the net price, which is 18/118 of a VAT-inclusive total.)","{gross} ლარი დღგ-ს ჩათვლით შეიცავს {vat} ლარის დღგ-ს, ასე რომ, ფასი დღგ-ის გარეშე არის {net} ლარი. (დღგ არის წმინდა ფასის 18%, ანუ დღგ-ს ჩათვლით ჯამის 18/118.)","В сумме {gross} лари с НДС содержится {vat} лари НДС, так что цена без НДС — {net} лари. (НДС — это 18% от цены без налога, то есть 18/118 от суммы с НДС.)","{gross} GEL inklusive Mehrwertsteuer enthalten {vat} GEL Mehrwertsteuer, der Preis ohne Mehrwertsteuer beträgt also {net} GEL. (Die Mehrwertsteuer beträgt 18 % des Nettopreises, also 18/118 eines Bruttobetrags.)","{gross} GEL TTC contiennent {vat} GEL de TVA : le prix hors TVA est donc de {net} GEL. (La TVA représente 18 % du prix hors taxes, soit 18/118 d’un montant TTC.)",{gross} {vat} {net},,,,,
reply.phrase.vat_exclusive,chat replies,"VAT at 18% on {net} GEL is {vat} GEL, so the total with VAT is {gross} GEL.","{net} ლარზე 18%-იანი დღგ შეადგენს {vat} ლარს, ასე რომ, ჯამი დღგ-ს ჩათვლით არის {gross} ლარი.","НДС по ставке 18% с {net} лари составляет {vat} лари, так что итог с НДС — {gross} лари.","Die Mehrwertsteuer von 18 % auf {net} GEL beträgt {vat} GEL, der Gesamtbetrag inklusive Mehrwertsteuer also {gross} GEL.",La TVA à 18 % sur {net} GEL s’élève à {vat} GEL : le total TTC est donc de {gross} GEL.,{net} {vat} {gross},,,,,
reply.phrase.vat_not_registered,chat replies,There's no VAT to add.,დღგ-ს დარიცხვა არ გიწევთ.,Начислять НДС не нужно.,Sie müssen keine Mehrwertsteuer berechnen.,Vous n’avez pas de TVA à facturer.,,,,,,
reply.phrase.vat_ask_inclusive,chat replies,"Sure. Does {amount} GEL already include VAT, or does VAT come on top?","რა თქმა უნდა. {amount} ლარი უკვე შეიცავს დღგ-ს, თუ დღგ ზემოდან ემატება?",Конечно. Сумма {amount} лари уже включает НДС или НДС начисляется сверху?,"Gern. Ist die Mehrwertsteuer in {amount} GEL bereits enthalten, oder kommt sie noch hinzu?","Bien sûr. Le montant de {amount} GEL inclut-il déjà la TVA, ou s’ajoute-t-elle ?",{amount},,,,,
reply.phrase.distribution,chat replies,"If the company pays out {amount} GEL in dividends, it owes {profit_tax} GEL profit tax: the payout is grossed up (divided by 0.85) and taxed at 15%, so the distribution costs the company {cost} GEL in total.","თუ კომპანია დივიდენდად გასცემს {amount} ლარს, მოგების გადასახადი იქნება {profit_tax} ლარი: გასაცემი თანხა იყოფა 0,85-ზე და იბეგრება 15%-ით, ასე რომ, განაწილება კომპანიას ჯამში {cost} ლარი დაუჯდება.","Если компания выплатит {amount} лари дивидендов, налог на прибыль составит {profit_tax} лари: выплата делится на 0,85 и облагается по ставке 15%, так что распределение обойдётся компании в {cost} лари.","Wenn das Unternehmen {amount} GEL als Dividende ausschüttet, schuldet es {profit_tax} GEL Gewinnsteuer: Die Ausschüttung wird durch 0,85 geteilt und mit 15 % besteuert, sodass die Ausschüttung das Unternehmen insgesamt {cost} GEL kostet.","Si l’entreprise verse {amount} GEL de dividendes, elle doit {profit_tax} GEL d’impôt sur les bénéfices : le montant versé est divisé par 0,85 puis imposé à 15 %, si bien que la distribution coûte au total {cost} GEL à l’entreprise.",{amount} {profit_tax} {cost},,,,,
reply.phrase.dividend_withheld,chat replies,"When paying it, you withhold {withholding} GEL dividend tax (5%), so the owner receives {net} GEL.","გაცემისას აკავებთ {withholding} ლარს დივიდენდის გადასახადად (5%), ასე რომ, მესაკუთრე მიიღებს {net} ლარს.","При выплате вы удерживаете {withholding} лари налога на дивиденды (5%), так что владелец получит {net} лари.","Bei der Auszahlung behalten Sie {withholding} GEL Dividendensteuer (5 %) ein, der Eigentümer erhält also {net} GEL.","Lors du versement, vous retenez {withholding} GEL d’impôt sur les dividendes (5 %) : le propriétaire reçoit donc {net} GEL.",{withholding} {net},,,,,
reply.phrase.distribution_ask,chat replies,"In Georgia a company pays profit tax only when it distributes profit, not while it keeps it. The payout is divided by 0.85 and taxed at 15%, and 5% is withheld from dividends paid to individuals. How much do you want to pay out?","საქართველოში კომპანია მოგების გადასახადს იხდის მხოლოდ მოგების განაწილებისას და არა მაშინ, როცა მოგებას ინარჩუნებს. გასაცემი თანხა იყოფა 0,85-ზე და იბეგრება 15%-ით, ფიზიკური პირისთვის გაცემულ დივიდენდს კი 5% ეკავება. რა თანხის გაცემა გსურთ?","В Грузии компания платит налог на прибыль только при её распределении, а не пока прибыль остаётся в компании. Выплата делится на 0,85 и облагается по ставке 15%, а с дивидендов физическим лицам удерживается 5%. Какую сумму вы хотите выплатить?","In Georgien zahlt ein Unternehmen Gewinnsteuer erst, wenn es Gewinne ausschüttet, nicht solange es sie einbehält. Die Ausschüttung wird durch 0,85 geteilt und mit 15 % besteuert, und von Dividenden an natürliche Personen werden 5 % einbehalten. Wie viel möchten Sie ausschütten?","En Géorgie, une entreprise ne paie l’impôt sur les bénéfices que lorsqu’elle distribue ses bénéfices, pas tant qu’elle les conserve. Le montant versé est divisé par 0,85 puis imposé à 15 %, et 5 % sont retenus sur les dividendes versés aux personnes physiques. Quel montant souhaitez-vous verser ?",,,,,,
reply.phrase.small_business_1,chat replies,"On {income} GEL of income you pay {tax} GEL: as a small business, taxable income is taxed at 1%, which leaves you {net} GEL. File the return and pay by the 15th of the following month.","{income} ლარის შემოსავალზე იხდით {tax} ლარს: მცირე ბიზნესის დასაბეგრი შემოსავალი 1%-ით იბეგრება, ასე რომ, გრჩებათ {net} ლარი. დეკლარაცია წარადგინეთ და გადასახადი გადაიხადეთ მომდევნო თვის 15 რიცხვამდე.","С дохода {income} лари вы платите {tax} лари: облагаемый доход малого бизнеса облагается по ставке 1%, так что у вас остаётся {net} лари. Подайте декларацию и уплатите налог до 15-го числа следующего месяца.","Auf {income} GEL Einkommen zahlen Sie {tax} GEL: Als Kleinunternehmer wird das steuerpflichtige Einkommen mit 1 % besteuert, es bleiben Ihnen also {net} GEL. Reichen Sie die Erklärung bis zum 15. des Folgemonats ein und zahlen Sie bis dahin.","Sur {income} GEL de revenu, vous payez {tax} GEL : en petite entreprise, le revenu imposable est taxé à 1 %, il vous reste donc {net} GEL. Déposez la déclaration et payez avant le 15 du mois suivant.",{income} {tax} {net},,,,,
reply.phrase.small_business_3,chat replies,"On {income} GEL of income you pay {tax} GEL, leaving {net} GEL. Since your gross income this year has passed GEL 500,000, the rate is 3% from the month the limit was exceeded until the end of the year. File the return and pay by the 15th of the following month.","{income} ლარის შემოსავალზე იხდით {tax} ლარს და გრჩებათ {net} ლარი. რადგან წლის განმავლობაში მიღებულმა შემოსავალმა 500 000 ლარს გადააჭარბა, განაკვეთი 3%-ია იმ თვიდან, როცა ზღვარი გადაიჭარბა, წლის ბოლომდე. დეკლარაცია წარადგინეთ და გადასახადი გადაიხადეთ მომდევნო თვის 15 რიცხვამდე.","С дохода {income} лари вы платите {tax} лари, остаётся {net} лари. Поскольку валовой доход в этом году превысил 500 000 лари, ставка составляет 3% с месяца превышения лимита до конца года. Подайте декларацию и уплатите налог до 15-го числа следующего месяца.","Auf {income} GEL Einkommen zahlen Sie {tax} GEL, es bleiben {net} GEL. Da Ihr Bruttoeinkommen in diesem Jahr 500.000 GEL überschritten hat, beträgt der Satz ab dem Monat der Überschreitung bis Jahresende 3 %. Reichen Sie die Erklärung bis zum 15. des Folgemonats ein und zahlen Sie bis dahin.","Sur {income} GEL de revenu, vous payez {tax} GEL, il vous reste {net} GEL. Comme votre revenu brut de l’année a dépassé 500 000 GEL, le taux est de 3 % à partir du mois du dépassement jusqu’à la fin de l’année. Déposez la déclaration et payez avant le 15 du mois suivant.",{income} {tax} {net},,,,,
reply.phrase.small_business_ask,chat replies,"As a small business you pay 1% of taxable income (3% once the year's gross income passes GEL 500,000). How much did you earn this month?","მცირე ბიზნესი დასაბეგრი შემოსავლის 1%-ს იხდის (3%-ს, როცა წლის შემოსავალი 500 000 ლარს გადააჭარბებს). რამდენი გამოიმუშავეთ ამ თვეში?","Малый бизнес платит 1% от облагаемого дохода (3%, когда валовой доход за год превысит 500 000 лари). Сколько вы заработали в этом месяце?","Als Kleinunternehmer zahlen Sie 1 % des steuerpflichtigen Einkommens (3 %, sobald das Bruttoeinkommen des Jahres 500.000 GEL übersteigt). Wie viel haben Sie in diesem Monat eingenommen?","En petite entreprise, vous payez 1 % du revenu imposable (3 % dès que le revenu brut de l’année dépasse 500 000 GEL). Combien avez-vous gagné ce mois-ci ?",,,,,,
reply.phrase.vat_payable,chat replies,You pay {payable} GEL VAT for the month: {output} GEL charged on sales minus {input} GEL deductible VAT on purchases. Only VAT backed by a tax invoice (or an import declaration) can be deducted.,ამ თვისთვის გადასახდელია {payable} ლარი დღგ: გაყიდვებზე დარიცხულ {output} ლარს აკლდება შესყიდვებზე ჩასათვლელი {input} ლარი. ჩათვლა მხოლოდ საგადასახადო ანგარიშ-ფაქტურით (ან იმპორტის დეკლარაციით) დადასტურებულ დღგ-ზეა შესაძლებელი.,"За месяц к уплате {payable} лари НДС: {output} лари, начисленные на продажи, минус {input} лари НДС к зачёту по покупкам. Зачесть можно только НДС, подтверждённый налоговым счётом-фактурой (или импортной декларацией).","Für den Monat zahlen Sie {payable} GEL Mehrwertsteuer: {output} GEL auf Verkäufe abzüglich {input} GEL abziehbarer Vorsteuer auf Einkäufe. Abziehbar ist nur Vorsteuer, die durch eine Steuerrechnung (oder eine Einfuhrerklärung) belegt ist.","Pour le mois, vous payez {payable} GEL de TVA : {output} GEL facturés sur les ventes moins {input} GEL de TVA déductible sur les achats. Seule la TVA justifiée par une facture fiscale (ou une déclaration d’importation) est déductible.",{payable} {output} {input},,,,,
reply.phrase.vat_refund,chat replies,There's no VAT to pay this month: the deductible VAT on purchases ({input} GEL) is more than the VAT on sales ({output} GEL). The {refund} GEL difference can be refunded (Art. 181).,ამ თვეში დღგ-ის გადახდა არ გიწევთ: შესყიდვებზე ჩასათვლელი დღგ ({input} ლარი) გაყიდვებზე დარიცხულ დღგ-ს ({output} ლარი) აღემატება. {refund} ლარის სხვაობის დაბრუნება შესაძლებელია (მუხლი 181).,В этом месяце НДС платить не нужно: НДС к зачёту по покупкам ({input} лари) больше НДС с продаж ({output} лари). Разницу в {refund} лари можно вернуть (ст. 181).,Diesen Monat ist keine Mehrwertsteuer zu zahlen: Die abziehbare Vorsteuer ({input} GEL) übersteigt die Mehrwertsteuer auf Verkäufe ({output} GEL). Die Differenz von {refund} GEL kann erstattet werden (Art. 181).,Pas de TVA à payer ce mois-ci : la TVA déductible sur les achats ({input} GEL) dépasse la TVA sur les ventes ({output} GEL). La différence de {refund} GEL peut être remboursée (art. 181).,{input} {output} {refund},,,,,
reply.phrase.vat_payable_ask_output,chat replies,Sure. VAT payable is the VAT you charged on sales minus the deductible VAT on purchases. How much VAT did you charge on your sales this month?,რა თქმა უნდა. გადასახდელი დღგ არის გაყიდვებზე დარიცხულ დღგ-ს გამოკლებული შესყიდვებზე ჩასათვლელი დღგ. რამდენი დღგ დაარიცხეთ ამ თვეში გაყიდვებზე?,"Конечно. НДС к уплате — это НДС, начисленный на продажи, минус НДС к зачёту по покупкам. Сколько НДС вы начислили на продажи в этом месяце?",Gern. Die Zahllast ist die Mehrwertsteuer auf Verkäufe abzüglich der abziehbaren Vorsteuer auf Einkäufe. Wie viel Mehrwertsteuer haben Sie diesen Monat auf Ihre Verkäufe berechnet?,Bien sûr. La TVA due est la TVA facturée sur les ventes moins la TVA déductible sur les achats. Combien de TVA avez-vous facturée sur vos ventes ce mois-ci ?,,,,,,
reply.phrase.vat_payable_ask_input,chat replies,Got it: {output} GEL VAT on sales. And how much deductible VAT is on your purchases this month (from tax invoices)?,გასაგებია: გაყიდვებზე {output} ლარი დღგ. რამდენია ამ თვის შესყიდვებზე ჩასათვლელი დღგ (საგადასახადო ანგარიშ-ფაქტურებით)?,Понял: {output} лари НДС с продаж. А сколько НДС к зачёту по покупкам в этом месяце (по налоговым счетам-фактурам)?,Verstanden: {output} GEL Mehrwertsteuer auf Verkäufe. Und wie viel abziehbare Vorsteuer haben Sie diesen Monat (laut Steuerrechnungen)?,Entendu : {output} GEL de TVA sur les ventes. Et combien de TVA déductible y a-t-il sur vos achats ce mois-ci (selon les factures fiscales) ?,{output},,,,,
reply.phrase.vat_not_registered_credit,chat replies,You can't deduct VAT.,დღგ-ის ჩათვლა არ შეგიძლიათ.,Зачесть НДС вы не можете.,Einen Vorsteuerabzug können Sie nicht vornehmen.,Vous ne pouvez pas déduire de TVA.,,,,,,
reply.phrase.applies_amount,chat replies,{title}: {amount} GEL.,{title}: {amount} ლარი.,{title}: {amount} лари.,{title}: {amount} GEL.,{title} : {amount} GEL.,{title} {amount},,,,,
reply.phrase.not_applicable,chat replies,{title} doesn't apply here.,„{title}“ აქ არ ვრცელდება.,«{title}» здесь не применяется.,„{title}“ ist hier nicht anwendbar.,« {title} » ne s’applique pas ici.,{title},,,,,
reply.phrase.need,chat replies,To answer that I need a bit more information:,პასუხისთვის ცოტა მეტი ინფორმაცია მჭირდება:,"Чтобы ответить, мне нужно немного больше информации:",Für eine Antwort brauche ich noch ein paar Angaben:,"Pour répondre, j’ai besoin d’un peu plus d’informations :",,,,,,
reply.phrase.no_rules,chat replies,I don't have a rule in effect for that on the selected date.,არჩეული თარიღისთვის ამ საკითხზე მოქმედი წესი არ მაქვს.,На выбранную дату у меня нет действующего правила по этому вопросу.,Für das gewählte Datum habe ich dazu keine gültige Regel.,Je n’ai pas de règle en vigueur à ce sujet à la date choisie.,,,,,,
reply.assumption.pension_participant,chat replies,"I've assumed the employee is in the funded pension scheme, as most employees are. Tell me if they're not.","ვივარაუდე, რომ თანამშრომელი დაგროვებით საპენსიო სქემაშია ჩართული, როგორც დასაქმებულთა უმეტესობა. თუ ასე არ არის, მითხარით.","Я исхожу из того, что сотрудник участвует в накопительной пенсионной схеме, как большинство работников. Если это не так, скажите.","Ich bin davon ausgegangen, dass der Mitarbeiter am kapitalgedeckten Rentensystem teilnimmt, wie die meisten Beschäftigten. Sagen Sie mir Bescheid, falls nicht.","J’ai supposé que le salarié participe au régime de retraite par capitalisation, comme la plupart des salariés. Dites-le-moi si ce n’est pas le cas.",,,,,,
reply.assumption.dividend_recipient,chat replies,"I've assumed the dividend goes to an individual owner. Dividends paid to another company aren't taxed at source, so tell me if that's the case.","ვივარაუდე, რომ დივიდენდს ფიზიკური პირი (მესაკუთრე) იღებს. სხვა კომპანიისთვის გადახდილი დივიდენდი წყაროსთან არ იბეგრება, ასე რომ, თუ ასეა, მითხარით.","Я исхожу из того, что дивиденды получает владелец — физическое лицо. Дивиденды, выплаченные другой компании, у источника не облагаются, так что скажите, если это ваш случай.","Ich bin davon ausgegangen, dass die Dividende an einen Eigentümer als Privatperson geht. Dividenden an ein anderes Unternehmen werden an der Quelle nicht besteuert – sagen Sie Bescheid, falls das zutrifft.",J’ai supposé que le dividende est versé à un propriétaire personne physique. Les dividendes versés à une autre société ne sont pas imposés à la source : dites-le-moi si c’est le cas.,,,,,,
reply.assumption.over_small_business_limit,chat replies,"I've assumed your gross income this year is still within GEL 500,000. If it's higher, tell me: the rate is then 3%.","ვივარაუდე, რომ ამ წლის შემოსავალი ჯერ 500 000 ლარს არ აღემატება. თუ მეტია, მითხარით: მაშინ განაკვეთი 3%-ია.","Я исходил из того, что ваш валовой доход в этом году не превышает 500 000 лари. Если больше, скажите: тогда ставка 3%.","Ich bin davon ausgegangen, dass Ihr Bruttoeinkommen in diesem Jahr 500.000 GEL noch nicht übersteigt. Falls doch, sagen Sie es mir: Dann gilt 3 %.","J’ai supposé que votre revenu brut de l’année ne dépasse pas encore 500 000 GEL. Si c’est le cas, dites-le-moi : le taux est alors de 3 %.",,,,,,
